date,repo_name,stargazes,language,forks,total_repos,crypto
2022-12-16,lido-dao,179,JavaScript,99,10,Lido DAO
2022-12-16,solido,89,Rust,35,10,Lido DAO
2022-12-16,scripts,8,Python,5,10,Lido DAO
2022-12-16,easy-track,5,Python,4,10,Lido DAO
2022-12-16,jumpgates,1,Python,4,10,Lido DAO
2022-12-16,lido-dao,0,JavaScript,0,10,Lido DAO
2022-12-16,lido-dao,0,JavaScript,0,10,Lido DAO
2022-12-16,lido-dao,0,,0,10,Lido DAO
2022-12-16,lido-dao_test,0,Solidity,0,10,Lido DAO
2022-12-16,yearn-smartcontract,0,Solidity,0,10,Lido DAO
