date,repo_name,stargazes,language,forks,total_repos,crypto
2022-10-31,leostick_otp,17,Arduino,3,13,LEO Token
2022-10-31,LeonicornSwap-Token-Contract,2,,2,13,LEO Token
2022-10-31,leo,2,JavaScript,2,13,LEO Token
2022-10-31,leo-token,1,TypeScript,0,13,LEO Token
2022-10-31,leoparinu,0,,0,13,LEO Token
2022-10-31,arch1-tokenizer-LeonelEscapita,0,C,1,13,LEO Token
2022-10-31,leoactoinhouse,0,JavaScript,1,13,LEO Token
2022-10-31,wLEO-contract,0,Solidity,0,13,LEO Token
2022-10-31,came_leon,0,JavaScript,0,13,LEO Token
2022-10-31,leotoken,0,JavaScript,0,13,LEO Token
2022-10-31,LEOcoin-ERC20,0,,1,13,LEO Token
2022-10-31,LEOBank,0,JavaScript,1,13,LEO Token
2022-10-31,LEOTOKEN,0,,0,13,LEO Token
