date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-23,nftx-bayc-flash-borrow,218,Solidity,88,37,ApeCoin
2022-11-23,apecoin-nftx-mev,14,Solidity,9,37,ApeCoin
2022-11-23,SetApprovalForAll-Bypass,6,,3,37,ApeCoin
2022-11-23,apecoin-claim-checker,5,JavaScript,1,37,ApeCoin
2022-11-23,apecoin-clone,2,JavaScript,0,37,ApeCoin
2022-11-23,ApeCoin-Drainer,2,,0,37,ApeCoin
2022-11-23,ape-coin-lp-analysis,2,,0,37,ApeCoin
2022-11-23,APEcoin,1,Solidity,4,37,ApeCoin
2022-11-23,ApeCoinAirdropExploit,1,Solidity,0,37,ApeCoin
2022-11-23,Reciprocating-Apecoin-Bot,1,Solidity,0,37,ApeCoin
2022-11-23,apecoin,1,SCSS,0,37,ApeCoin
2022-11-23,Project_1,0,,0,37,ApeCoin
2022-11-23,goerli-apecoin,0,JavaScript,0,37,ApeCoin
2022-11-23,bayc-apecoin-arb,0,,0,37,ApeCoin
2022-11-23,bored-ape,0,CSS,0,37,ApeCoin
2022-11-23,apecoin-classic-etc,0,JavaScript,0,37,ApeCoin
2022-11-23,peacoin,0,JavaScript,0,37,ApeCoin
2022-11-23,apecoin-demo,0,JavaScript,0,37,ApeCoin
2022-11-23,ApeTracker,0,Swift,1,37,ApeCoin
2022-11-23,contract,0,Solidity,0,37,ApeCoin
2022-11-23,apeCoinMintNft,0,Solidity,1,37,ApeCoin
2022-11-23,apecoinjr,0,CSS,0,37,ApeCoin
2022-11-23,Apecoin-demo2,0,HTML,0,37,ApeCoin
2022-11-23,ApeCoin,0,,0,37,ApeCoin
2022-11-23,apecoin-staking,0,Solidity,0,37,ApeCoin
2022-11-23,optimized-apecoin-staking,0,Solidity,0,37,ApeCoin
2022-11-23,src,0,C++,0,37,ApeCoin
2022-11-23,apecoin,0,Solidity,0,37,ApeCoin
2022-11-23,apecoin,0,,0,37,ApeCoin
2022-11-23,apecoing,0,Python,0,37,ApeCoin
2022-11-23,Apecoin2-0,0,,0,37,ApeCoin
2022-11-23,ApecoinStaking,0,Solidity,0,37,ApeCoin
2022-11-23,ApeCoin-Contracts,0,Solidity,0,37,ApeCoin
2022-11-23,Apecoin2,0,Solidity,0,37,ApeCoin
2022-11-23,Apecoin,0,,0,37,ApeCoin
2022-11-23,apecoin,0,,0,37,ApeCoin
2022-11-23,yacht-club-staking,0,JavaScript,1,37,ApeCoin
