date,repo_name,stargazes,language,forks,total_repos,crypto
2022-11-10,leostick_otp,17,Arduino,3,13,LEO Token
2022-11-10,LeonicornSwap-Token-Contract,2,,2,13,LEO Token
2022-11-10,leo,2,JavaScript,2,13,LEO Token
2022-11-10,leo-token,1,TypeScript,0,13,LEO Token
2022-11-10,leoparinu,0,,0,13,LEO Token
2022-11-10,arch1-tokenizer-LeonelEscapita,0,C,1,13,LEO Token
2022-11-10,leoactoinhouse,0,JavaScript,1,13,LEO Token
2022-11-10,wLEO-contract,0,Solidity,0,13,LEO Token
2022-11-10,came_leon,0,JavaScript,0,13,LEO Token
2022-11-10,leotoken,0,JavaScript,0,13,LEO Token
2022-11-10,LEOcoin-ERC20,0,,1,13,LEO Token
2022-11-10,LEOBank,0,JavaScript,1,13,LEO Token
2022-11-10,LEOTOKEN,0,,0,13,LEO Token
